Genes,NET-001-T_2,NET-003-T_1,NET-003-T_2,NET-008-T_2,NET-009-T_1,NET-009-T_2,NET-029,NET-005,NET-030,NET-031,NET-034,NET-025,NET-003,NET-013,NET-017,NET-002,NET-011,NET-015,NET-032,BON-1,QGP-1
MEN1,DEL,DEL,DEL,INS,NON,NON,NA,NON,DEL,NA,MIS,NON,DEL,NA,MIS,NA,DEL,NON,NON,NA,NA
DAXX,MIS,MIS,NA,NA,NA,NA,NA,NA,NA,NA,MIS,INS,SPLICE,START,NA,NA,NA,NA,MIS,NA,NA
ATRX,NA,NA,NA,INS,MIS,MIS,NA,NON,NA,NON,NA,NA,NA,NA,DEL,MIS,NA,MIS,NA,NA,NA
TP53,NA,NA,NA,NA,MIS,NA,NA,NA,NA,NA,NA,MIS,NA,NA,NA,NA,NA,NA,NA,NA,MIS
